name,lat,lon,O+,A+,B+,AB+,O-,A-,B-,AB-,expiry_dates
Jagruti Charitable Trust Blood Bank Dhoraji,21.731878,70.450128,2,4,6,5,6,6,5,4,"['2025-10-26', '2025-11-21']"
GMERS Medical College Attach Sir Pratap General Hospital Blood Bank,23.595692,72.960688,3,4,6,3,1,3,3,6,"['2025-10-30', '2025-11-20']"
Indian Red Cross Society Blood Bank Himmatnagar,23.056733,72.573372,3,5,3,3,1,2,2,6,"['2025-11-06', '2025-11-22']"
Patel Voluntary Blood Bank Modasa,23.467375,73.297689,4,2,4,1,4,3,6,2,"['2025-10-31', '2025-11-14']"
Trimurti Blood Bank,23.838678,23.838678,2,1,2,2,2,2,1,5,"['2025-10-30', '2025-11-18']"
Late N.H. Ramani Memorial Voluntary Blood Bank and Navchetan Pathology Lab Modasa,23.459892,73.297569,6,1,3,6,5,2,5,3,"['2025-10-29', '2025-11-17']"
New Civil Hospital Blood Bank,21.180272,72.821117,3,1,4,1,2,5,4,5,"['2025-10-28', '2025-11-16']"
Surat Raktdan Kendra,21.172667,72.829951,1,6,1,5,5,6,3,3,"['2025-11-05', '2025-11-15']"
"Lok Samarpan Raktadan Kendra, Surat",21.219718,72.910619,5,3,6,4,3,3,3,5,"['2025-11-01', '2025-11-14']"
Shree Mahavir Health And Medical Relief Society Blood Bank,21.184104,72.813897,3,1,4,3,2,4,5,6,"['2025-11-05', '2025-11-16']"
Shree Sardar Smarak Hospital Blood Bank,21.130451,73.108096,1,2,6,2,4,4,3,5,"['2025-10-31', '2025-11-23']"
SMIMER Hospital Blood Bank,21.196246,72.845477,3,6,4,1,6,5,5,3,"['2025-11-04', '2025-11-16']"
 Surat Health Care Foundation Blood Bank,21.195,72.819444,5,5,3,1,1,3,3,5,"['2025-10-26', '2025-11-22']"
General Hospital Surendranagar Blood Bank,22.7226,71.649165,2,5,5,6,3,1,6,3,"['2025-10-29', '2025-11-22']"
C. U. Shah Medical College and Hospital Blood Bank,22.741751,71.622137,4,1,6,4,2,2,6,3,"['2025-11-05', '2025-11-11']"
Sharddha Voluntary Blood Bank and Pathology Laboratory Dhangadhra,22.990836,71.47162,5,6,3,6,6,6,4,3,"['2025-11-02', '2025-11-21']"
Laxmiben Kushalbhai Patel Blood Bank ,21.113314,21.113314,6,3,4,5,1,4,3,2,"['2025-11-05', '2025-11-20']"
Maliba Raktdan Kendra (IRCS),21.118758,73.404128,4,5,3,1,1,2,6,3,"['2025-11-05', '2025-11-18']"
S. S. G. Hospital Vadodara,22.307133,73.189731,6,5,2,4,2,2,1,3,"['2025-11-05', '2025-11-17']"
Jamnabai Blood Bank,22.300308,22.300308,5,5,4,5,6,3,3,4,"['2025-10-30', '2025-11-12']"
"Medical Care Centre Trust, Shri Jalaram Blood Bank, Vadodara  ",22.314965,73.195356,5,1,4,5,2,5,4,3,"['2025-11-08', '2025-11-18']"
Suraktam Blood Bank Vadodara,22.307765,73.18633,4,1,3,1,4,1,5,4,"['2025-10-31', '2025-11-11']"
Kailash Cancer Hospital & Research Centre Blood Bank.,22.334629,73.464162,5,4,1,2,2,1,3,1,"['2025-11-01', '2025-11-15']"
GMERS Medical College and General Hospital Blood Bank,22.313751,73.148086,6,4,4,4,6,4,5,1,"['2025-11-03', '2025-11-23']"
Indu Blood Bank Vadodara,22.304204,73.1935,4,2,3,1,3,3,3,6,"['2025-11-03', '2025-11-10']"
Dhiraj General Blood Bank Vadodara,22.30732,73.181079,2,5,2,3,5,3,5,6,"['2025-10-30', '2025-11-14']"
Bhailal Amin General Hospital Blood Bank,22.325426,73.163239,4,6,5,5,5,2,3,3,"['2025-11-07', '2025-11-21']"
SBPP Cooperative Bank Foundation Blood Bank,20.516862,72.951211,3,3,1,3,1,2,3,6,"['2025-11-08', '2025-11-09']"
General Hospital and GMERS Medical College Blood Bank,20.59404,72.922063,6,1,5,3,6,4,2,6,"['2025-11-07', '2025-11-12']"
Valsad Raktdan Kendra,20.609737,72.929097,5,3,5,3,4,3,6,6,"['2025-10-31', '2025-11-16']"
"Nukem Blood Bank, Vapi",20.381255,72.920819,1,4,1,1,5,5,6,4,"['2025-10-31', '2025-11-20']"
Smt. Puriben Popat Lakha Blood Bank,20.373994,72.904781,4,4,5,2,2,5,6,6,"['2025-11-03', '2025-11-21']"
Military Hospital Blood Bank Ambala,30.353047,76.833532,6,6,5,3,2,2,5,2,"['2025-11-03', '2025-11-13']"
MM Institute of Medical Sciences and Research Blood Bank,30.252282,77.049488,1,1,1,1,5,6,3,2,"['2025-11-05', '2025-11-21']"
Sanjeevani Blood Bank,30.339065,76.836686,3,1,4,4,5,2,3,4,"['2025-10-29', '2025-11-14']"
General Hospital Blood Bank Ambala City ,30.378711,76.779636,4,5,4,2,6,6,4,5,"['2025-11-01', '2025-11-18']"
Philadelphia Mission Hospital Blood Bank,30.383042,76.785947,4,1,5,3,3,4,1,1,"['2025-10-28', '2025-11-19']"
General Hospital Bhiwani Blood Bank ,28.797229,76.13081,2,4,2,2,2,1,4,4,"['2025-10-27', '2025-11-21']"
City Blood Bank,0.0,0.0,2,6,4,4,5,5,6,3,"['2025-11-01', '2025-11-18']"
Gold Field Hospital and Research Centre,28.277083,77.454948,1,5,1,5,6,3,3,4,"['2025-11-03', '2025-11-16']"
Badshah Khan General Hospital Blood Bank,28.392623,77.299274,4,2,3,1,2,3,2,6,"['2025-11-03', '2025-11-10']"
Escorts Hospital and Research Center Limited Blood Bank,28.391378,77.306856,4,6,3,5,1,6,6,1,"['2025-10-26', '2025-11-14']"
M/s Sunflag Hospital and Research Centre Blood Bank,28.40274,77.31823,5,2,5,2,5,4,1,5,"['2025-11-03', '2025-11-15']"
Sarvodaya Hospital and Research Centre,28.422451,77.316923,5,3,1,1,2,6,6,2,"['2025-11-03', '2025-11-13']"
QRG Central Hospital and Research Centre Blood Bank,28.393014,77.310047,1,4,2,5,3,1,3,4,"['2025-11-05', '2025-11-16']"
Sant Bhagat Singh Maharaj Ji Charitable Hospital Blood Bank,28.383115,77.302218,3,5,2,4,4,2,2,4,"['2025-10-26', '2025-11-09']"
Asian Institute of Medical Sciences Blood Bank,28.425756,77.299823,3,2,6,6,4,4,5,6,"['2025-11-06', '2025-11-13']"
Metro Heart Institute with Multispecialty,28.406835,77.318049,2,2,3,4,2,2,3,2,"['2025-10-27', '2025-11-09']"
General Hospital Blood Bank Fatehabad,29.517629,75.448988,1,4,2,5,4,4,6,6,"['2025-10-26', '2025-11-12']"
Jagdambe Blood Bank,29.715587,75.900961,4,5,2,3,2,1,1,4,"['2025-11-07', '2025-11-22']"
Paras Health Care Private Limited Blood Bank,28.451204,77.087719,4,4,5,3,4,2,2,3,"['2025-11-05', '2025-11-21']"
Artemis Medicare Services Limited Blood Bank,28.43132,77.072134,3,4,1,4,1,5,5,3,"['2025-10-31', '2025-11-09']"
Medanta The Medicity Hospital Blood Bank,28.439105,77.040909,3,1,2,4,4,2,5,2,"['2025-11-02', '2025-11-17']"
Alchemist Institute of Medical Sciences Blood Bank,28.439328,77.10227,3,3,1,3,3,2,5,6,"['2025-11-04', '2025-11-15']"
SGT Medical College Hospital and Research Institute Blood Bank ,28.478407,76.902714,5,3,5,1,6,4,3,4,"['2025-11-02', '2025-11-10']"
Park Hospital Blood Bank,28.420003,77.048378,3,1,4,3,2,1,4,5,"['2025-10-29', '2025-11-09']"
Fortis Memorial Research Institute Blood Bank,28.456975,77.07299,6,4,6,4,3,3,2,4,"['2025-11-05', '2025-11-12']"
Fortis Memorial Research Institute Blood Bank,28.456965,77.07297,2,3,2,6,6,4,5,1,"['2025-10-27', '2025-11-19']"
"General Hospital Blood Bank, Gurugram",28.511841,76.986694,1,2,1,5,6,2,1,1,"['2025-10-29', '2025-11-12']"
Umkal Blood Bank,0.0,0.0,2,1,3,4,5,2,4,2,"['2025-11-08', '2025-11-13']"
VPS Rockland Hospital Blood bank,0.0,0.0,3,2,6,2,3,6,5,3,"['2025-11-05', '2025-11-11']"
"Columbia Asia Hospital - Palam Vihar, Blood Bank",0.0,0.0,6,1,4,5,2,6,5,3,"['2025-11-02', '2025-11-14']"
Paras Hospital Blood Bank,0.0,0.0,3,6,5,2,1,3,1,3,"['2025-10-25', '2025-11-19']"
Nalwa Pathology and Microbiology Laboratory Blood Bank,29.157025,75.722428,1,3,4,2,3,3,1,3,"['2025-11-01', '2025-11-15']"
Central Medical Centre (CMC) Hospital Blood Bank,29.140858,75.734103,4,6,1,6,5,6,6,6,"['2025-11-03', '2025-11-11']"
Haryana Blood Bank,29.130234,75.74437,6,4,5,2,4,6,3,4,"['2025-10-31', '2025-11-09']"
Manglam Blood Bank,29.131899,75.744839,5,6,6,6,3,2,6,1,"['2025-11-05', '2025-11-09']"
Hisar Blood Bank,0.0,0.0,4,6,2,3,6,2,2,4,"['2025-11-05', '2025-11-10']"
Dr. Anant Ram Janta Hospital Blood Bank,29.363162,75.901772,1,5,2,3,6,3,6,4,"['2025-10-29', '2025-11-19']"
"National Blood Bank, Kharab Hospital Blood Bank",29.310977,76.344908,6,3,1,3,1,2,1,2,"['2025-10-26', '2025-11-11']"
Sarvodaya Blood Bank services,29.1409,75.733801,5,1,3,1,6,4,6,5,"['2025-10-25', '2025-11-12']"
General Hospital Blood Bank Hisar,29.17,75.718602,5,6,5,3,2,1,5,2,"['2025-10-31', '2025-11-16']"
"Maharaja Agrasen Medical College, Agroha, Blood Bank",29.336707,75.622627,1,5,2,4,1,1,1,2,"['2025-10-25', '2025-11-21']"
General Hospital Blood Bank Jhajjar,28.607735,76.642891,4,5,5,5,1,1,2,1,"['2025-11-01', '2025-11-11']"
General Hospital Blood Bank Jind,29.311866,76.330022,2,2,5,5,2,5,2,4,"['2025-11-05', '2025-11-12']"
National Blood Bank,0.0,0.0,5,2,1,6,5,4,5,5,"['2025-11-02', '2025-11-13']"
Gangaputra Hospital and Research Centre Blood Bank,29.378281,76.337165,3,4,3,2,3,2,4,6,"['2025-11-08', '2025-11-15']"
Smt. Indira Gandhi Government Multispeciality Blood Bank,29.793446,76.421959,6,4,6,1,1,2,3,4,"['2025-11-08', '2025-11-09']"
Haryana Institute of Medical Sciences (HIMS) Hospital Blood Bank,29.844728,76.441361,2,1,5,3,3,5,6,6,"['2025-11-03', '2025-11-19']"
Kapisthal Blood Bank,0.0,0.0,5,4,3,3,6,2,3,5,"['2025-11-03', '2025-11-13']"
General Hospital Blood Bank Karnal,29.696067,76.994185,4,6,6,6,1,6,5,3,"['2025-11-01', '2025-11-13']"
Nirmal Institute of Medical Sciences and Technology Blood Bank,28.4734936,77.2906064,6,4,6,2,6,4,3,4,"['2025-10-27', '2025-11-13']"
Pandit Ram Prakash Hospital and Kidney Centre Blood Bank,0.0,0.0,4,6,5,3,5,5,1,6,"['2025-10-26', '2025-11-17']"
Save Life Blood Bank,28.701048,77.103863,5,5,6,5,2,5,1,1,"['2025-10-26', '2025-11-19']"
LNJP District Government Hospital Blood Bank ,29.964985,76.820558,3,1,3,5,2,6,6,2,"['2025-11-07', '2025-11-16']"
Kurukshetra Blood Bank,29.970016,76.838528,1,3,1,6,2,4,6,4,"['2025-11-04', '2025-11-17']"
Adesh Blood Bank,0.0,0.0,3,1,1,6,6,5,1,6,"['2025-11-05', '2025-11-10']"
Civil Hospital Narnaul ,0.0,0.0,4,6,3,5,3,2,1,2,"['2025-11-02', '2025-11-20']"
General Hospital Blood Bank Mandikhera,0.0,0.0,1,2,6,4,2,6,4,6,"['2025-11-06', '2025-11-15']"
Shaheed Hasan Khan Mewati Government Medical College Blood Bank  ,28.091167,76.971562,4,4,4,1,4,5,6,6,"['2025-10-30', '2025-11-21']"
Diamond Blood Bank LLT,0.0,0.0,6,1,5,2,6,3,3,6,"['2025-10-29', '2025-11-15']"
General Hospital Blood Bank Palwal,28.136087,77.327024,1,1,5,3,2,2,3,3,"['2025-10-31', '2025-11-23']"
Command Hospital Blood Bank,30.712615,76.854089,1,5,6,6,3,3,5,1,"['2025-10-30', '2025-11-20']"
Alchemist Hospital Panchkula Blood Bank,28.439332,77.10227,6,1,5,5,2,6,5,6,"['2025-10-28', '2025-11-16']"
District Hospital Panchkula Blood Bank,30.710793,76.845878,2,1,4,2,4,6,1,3,"['2025-10-27', '2025-11-17']"
N.C. Medical College and Hospital Blood Bank,29.286568,76.878961,6,3,5,4,4,6,2,1,"['2025-10-28', '2025-11-09']"
Red Cross Blood Bank,29.39369,76.969115,3,1,3,1,2,5,5,3,"['2025-11-03', '2025-11-11']"
Prem Blood Bank,29.398644,76.966314,2,4,4,5,6,5,3,3,"['2025-11-03', '2025-11-23']"
Bharat Blood Bank,0.0,0.0,1,3,6,5,6,1,3,3,"['2025-10-27', '2025-11-19']"
Panipat Blood Bank,29.391662,76.957172,2,2,4,5,2,1,2,4,"['2025-11-07', '2025-11-23']"
Cygnus Maharaja Aggarsain Hospital Blood Bank,0.0,0.0,4,2,1,5,1,4,4,6,"['2025-10-31', '2025-11-23']"
Rewari Blood Bank,28.187832,76.616935,6,1,2,4,5,6,1,1,"['2025-11-05', '2025-11-19']"
General Hospital Rewari Blood Bank,28.202218,76.619789,5,5,1,6,1,3,3,4,"['2025-11-05', '2025-11-19']"
Bharti Blood Bank,0.0,0.0,2,6,2,5,1,1,5,6,"['2025-11-06', '2025-11-15']"
Pandit Bhagwat Dayal Sharma Post Graduate Institute of Medical Sciences (PGIMS) Blood Bank,28.879942,76.608052,1,2,3,5,1,5,4,3,"['2025-11-06', '2025-11-16']"
General Hospital Blood Bank Sirsa,29.538977,75.014269,6,3,2,6,2,2,2,6,"['2025-10-28', '2025-11-19']"
Shiv Shakti Blood Bank,29.536432,75.022062,6,2,3,1,5,1,2,6,"['2025-11-04', '2025-11-12']"
Bapu Maghar Singh Ji International Blood Bank,29.467914,75.068864,2,2,1,1,3,3,6,2,"['2025-11-01', '2025-11-13']"
Bapu Maghar singh ji,0.0,0.0,1,3,6,6,1,3,6,6,"['2025-10-27', '2025-11-23']"
General Hospital Blood Bank Sonipat,28.990486,77.036475,3,4,4,4,4,3,3,5,"['2025-11-01', '2025-11-15']"
Sonipat Blood Bank,28.991527,77.034557,1,1,6,4,4,1,4,4,"['2025-10-30', '2025-11-22']"
Bhagat Phool Singh Government Medical College for Women Blood Bank,29.149774,76.808336,6,6,4,3,2,3,2,5,"['2025-10-30', '2025-11-23']"
Shree MAA Blood Bank,30.147696,77.304339,2,5,6,4,3,1,5,2,"['2025-11-08', '2025-11-16']"
MLGH Trauma Centre Yamuna Nagar Blood Bank ,30.1442,77.303543,6,1,1,2,3,5,2,3,"['2025-11-01', '2025-11-11']"
Bilaspur Regional Hospital Blood bank,31.335735,76.765248,4,3,4,4,3,3,6,5,"['2025-11-01', '2025-11-21']"
Chamba Regional Hospital Blood Bank ,32.558834,76.12246,2,6,3,3,2,6,1,4,"['2025-11-05', '2025-11-16']"
Bhota Charitable Hospital Blood Bank,31.609374,76.569182,2,4,4,2,1,3,3,4,"['2025-11-07', '2025-11-10']"
Hamirpur Regional Hospital Blood bank,31.679905,76.527416,6,2,6,1,2,4,4,2,"['2025-11-01', '2025-11-23']"
 Dharamshala Zonal Hospital Blood Bank,32.2129086,76.3194044,2,5,3,5,6,5,2,5,"['2025-10-28', '2025-11-15']"
Dr Rajendra Prasad Government Medical College (RPGMC) Blood Bank Tanda,32.0982738,76.3007658,1,5,5,6,1,3,6,2,"['2025-10-26', '2025-11-19']"
"Military Hospital,Yol Cant, Kangra",0.0,0.0,4,6,6,1,6,4,6,2,"['2025-10-28', '2025-11-20']"
Civil Hospital Blood Bank Palampur,32.107726,76.534876,6,4,5,3,6,4,4,5,"['2025-10-26', '2025-11-15']"
Reckong Peo Regional Hospital Blood Bank ,31.539316,78.267034,4,2,3,3,2,3,1,3,"['2025-11-01', '2025-11-11']"
Kullu Regional Hospital Blood Bank ,31.956462,77.111661,3,4,3,1,1,6,4,3,"['2025-11-03', '2025-11-17']"
Netaji Subhash Chander Bose Zonal Hospital Blood Bank,31.711561,76.927209,2,3,5,2,3,3,5,6,"['2025-11-08', '2025-11-11']"
Rohru Civil Hospital Blood Bank ,31.201285,77.752272,6,2,4,1,6,2,4,4,"['2025-11-04', '2025-11-09']"
Indira Gandhi Medical College Blood Bank Shimla,31.1071605,77.1831203,4,1,4,6,1,4,4,3,"['2025-11-02', '2025-11-09']"
Deen Dayal Updhayay Hospital Blood Bank,31.103536,77.17218,2,6,6,4,6,3,4,2,"['2025-10-26', '2025-11-19']"
Kamla Nehru Hospital Blood Bank,31.096648,77.175267,2,3,1,4,5,2,6,1,"['2025-10-26', '2025-11-10']"
Mahatma Gandhi Medical Services Blood Bank Rampur,31.4470213,77.6294213,6,1,3,4,5,4,5,1,"['2025-10-27', '2025-11-21']"
Nahan Regional Hospital Blood Bank ,30.559933,77.295483,2,1,1,1,2,4,2,6,"['2025-10-30', '2025-11-13']"
Malhotra Super Speciality Hospital Blood Bank ,30.9491629,76.8319738,4,3,6,6,5,5,3,3,"['2025-10-28', '2025-11-17']"
Maharishi Markendeshwar Medical College and Hospital Blood Bank,30.8713445,77.0863049,5,1,3,2,2,4,1,5,"['2025-11-06', '2025-11-13']"
 Solan Regional Hospital Blood Bank,30.90738,77.107075,4,3,5,3,1,4,6,5,"['2025-11-08', '2025-11-23']"
Una Regional Hospital Blood Bank ,31.4785791,76.2741605,5,2,5,4,5,2,2,6,"['2025-11-02', '2025-11-14']"
MMAB memorial District Hospital  Blood Bank Anantnag,33.7253569,75.153155,5,6,1,3,5,2,6,2,"['2025-11-05', '2025-11-21']"
Baramulla District Hospital Blood Bank,34.2031312,74.3654033,1,5,3,5,6,3,5,4,"['2025-11-02', '2025-11-21']"
Chodana Sub-District Hospital Blood Bank,33.9429341,74.7993502,6,6,2,1,2,2,6,4,"['2025-11-06', '2025-11-21']"
Budgam District Hospital Blood Bank ,34.020827,74.719824,3,5,3,6,3,1,6,3,"['2025-10-27', '2025-11-17']"
Doda District Hospital Blood Bank ,33.144377,75.543698,4,6,3,1,3,1,5,2,"['2025-10-27', '2025-11-19']"
District Hospital Blood Bank Ganderbal ,34.1944531,74.652155,4,4,5,1,1,4,4,6,"['2025-11-06', '2025-11-22']"
Government Hospital Blood Bank Gandhi Nagar,32.705277,74.859974,3,5,2,4,6,5,5,6,"['2025-10-30', '2025-11-17']"
Government Medical College and Hospital Blood Bank,32.736061,74.853998,2,4,1,1,3,2,2,5,"['2025-11-04', '2025-11-19']"
Sri Maharaja Gulab Singh (SMGS) Hospital Blood Bank,32.733578,74.862023,4,4,4,3,2,2,5,6,"['2025-11-05', '2025-11-12']"
Bee Enn General Hospital Blood Bank,32.7297174,74.8411347,5,4,1,1,5,3,4,1,"['2025-10-26', '2025-11-19']"
Sainik Asptal Blood Bank Satwari,0.0,0.0,2,6,4,6,6,1,2,5,"['2025-11-07', '2025-11-13']"
Acharya Shri Chander College of Medical Sciences and Hospital Blood Bank,32.760493,74.898955,5,4,1,3,1,2,4,5,"['2025-11-06', '2025-11-12']"
Kargil District Hospital (Kargil Ladakh Kashmir Division) Blood Bank ,34.559251,76.124874,3,4,5,4,4,3,3,4,"['2025-10-29', '2025-11-23']"
Kathua District Hospital Blood Bank ,32.390815,75.5252,4,3,3,6,2,5,2,5,"['2025-10-31', '2025-11-17']"
Kishtwar District Hospital Blood Bank  ,33.3139274,75.7681239,5,4,2,3,3,1,3,3,"['2025-10-28', '2025-11-23']"
Kulgam District Hospital Blood Bank ,33.645305,75.026719,1,4,1,6,6,3,4,3,"['2025-10-29', '2025-11-19']"
Handwara District Hospital Blood Bank,34.396437,74.284765,3,6,6,5,1,5,5,6,"['2025-10-27', '2025-11-13']"
General Hospital Blood Bank,0.0,0.0,4,1,5,2,2,3,5,5,"['2025-11-02', '2025-11-09']"
SNM Hospital Blood Bank,34.153795,77.580209,2,2,6,6,5,6,5,3,"['2025-10-30', '2025-11-21']"
Raja Sukhdev Singh District Hospital Poonch,33.772293,74.098062,4,5,1,5,3,3,3,4,"['2025-11-08', '2025-11-20']"
Pulwama District Hospital Blood Bank ,33.878861,74.900779,6,6,4,1,4,4,4,5,"['2025-10-26', '2025-11-12']"
General Hospital Blood Bank (Army),0.0,0.0,1,4,1,4,6,1,2,2,"['2025-10-26', '2025-11-20']"
Rajouri District Hospital Blood Bank ,33.3880811,74.316008,6,4,3,3,3,2,3,5,"['2025-10-31', '2025-11-16']"
Ramban District Hospital Blood Bank ,33.2420569,75.2392611,6,1,1,4,1,5,5,3,"['2025-10-26', '2025-11-17']"
District Hospital Blood Bank Sambha ,32.560515,75.120911,2,1,5,2,1,2,1,2,"['2025-10-27', '2025-11-16']"
District Hospital Blood Bank Shopian ,33.7200624,74.8338034,5,3,5,5,1,6,2,2,"['2025-10-31', '2025-11-15']"
Shri Maharaja Hari Singh (SMHS) Hospital Blood Bank,34.0862001,74.7977402,3,4,1,1,2,4,3,5,"['2025-11-03', '2025-11-15']"
92 Base Hospital Blood Bank,34.06591,74.856181,2,1,4,5,4,4,5,5,"['2025-10-31', '2025-11-23']"
Sher-I-Kashmir Institute of Medical Sciences (SKIMS) Blood bank,34.136677,74.800264,6,4,1,2,6,4,3,2,"['2025-11-01', '2025-11-19']"
 Government Lal Ded Hospital Blood Bank,34.0667492,74.8081809,6,1,2,1,2,5,3,2,"['2025-10-26', '2025-11-13']"
Government Bone and Joint Surgery Hospital Blood Bank,34.0481,74.80522,5,4,1,5,4,6,6,1,"['2025-10-28', '2025-11-21']"
Jawahar Lal Nehru Memorial Hospital Blood Bank,34.097759,74.821651,5,1,6,2,6,4,3,2,"['2025-11-04', '2025-11-15']"
Command Hospital Blood Bank ,32.930786,75.135348,3,5,4,6,6,4,5,5,"['2025-10-30', '2025-11-19']"
Udhampur District Hospital Blood Bank ,32.919922,75.132831,6,5,6,6,5,5,3,3,"['2025-11-02', '2025-11-11']"
Indian Red Cross Society Blood Bank Bokaro,23.644138,86.151112,6,2,2,4,6,4,2,5,"['2025-10-28', '2025-11-19']"
Bokaro General Hospital Blood Bank,23.675112,86.145632,2,6,4,4,4,5,2,2,"['2025-11-08', '2025-11-09']"
K.M. Memorial Hospital & Research Center Blood Bank,23.633257,86.173506,1,6,6,5,3,3,2,6,"['2025-10-31', '2025-11-11']"
Deoghar Sadar Hospital Campus Blood Bank ,24.491027,86.693996,2,5,6,1,4,5,5,4,"['2025-10-30', '2025-11-20']"
Patliputra Medical college and Hospital (PMCH) Blood Bank Dhanbad,23.7976877,86.4356088,3,3,5,4,1,1,4,2,"['2025-11-04', '2025-11-11']"
Central Hospital Blood Bank BCCL Dhanbad,23.8057146,86.4509654,6,1,5,2,4,4,3,3,"['2025-11-02', '2025-11-23']"
S. N. Chakraborty Memorial Chakraborty Nursing Home Blood Bank,0.0,0.0,6,6,6,4,1,2,6,5,"['2025-11-07', '2025-11-12']"
Dwarka Das Jalan Memorial Hospital Bartand Blood Bank ,23.806393,86.43059,1,5,5,3,1,6,6,3,"['2025-10-27', '2025-11-23']"
Dumka Sadar Hospital Blood Bank ,24.267264,87.251613,6,3,6,2,1,2,6,6,"['2025-11-04', '2025-11-15']"
MGM Medical College Hospital Campus Blood Bank Jamshedpur,22.811699,86.210334,1,1,3,6,2,6,3,2,"['2025-11-03', '2025-11-16']"
Jamshedpur Blood Bank ,22.804227,86.181256,1,4,1,2,5,2,3,2,"['2025-10-25', '2025-11-12']"
Garhwa Sadar Hospital Campus Blood Bank ,24.158163,83.802052,1,6,3,5,1,3,3,5,"['2025-11-03', '2025-11-23']"
Giridih Sadar Hospital Blood Bank ,24.1879903,86.3064543,6,2,3,4,4,2,5,2,"['2025-10-25', '2025-11-21']"
Gumla Sadar Hospital Blood Bank ,23.0346771,84.5383358,1,2,4,2,4,3,2,2,"['2025-11-08', '2025-11-22']"
Hazaribag Sadar Hospital Blood Bank ,23.997502,85.3564179,3,4,3,2,2,3,6,6,"['2025-11-04', '2025-11-21']"
TISCO West Bokaro Hospital Blood Bank ,0.0,0.0,4,1,2,1,1,5,6,5,"['2025-11-05', '2025-11-14']"
Koderma Sadar Hospital Blood Bank ,24.188289,86.306465,3,2,2,6,5,6,4,6,"['2025-11-01', '2025-11-18']"
Latehar Sadhar Hospital Blood Bank,23.7432844,84.5059776,3,4,4,4,2,4,4,5,"['2025-10-25', '2025-11-18']"
Lohardaga Sadar Hospital Blood Bank ,23.441722,84.685316,4,4,3,4,4,1,1,2,"['2025-10-28', '2025-11-15']"
Pakur Sadar Hospital Blood Bank ,24.6476852,87.7862334,3,3,2,1,1,2,3,5,"['2025-10-27', '2025-11-12']"
Palamu Sadar Hospital Blood Bank ,24.047051,84.060447,4,5,3,3,3,2,5,2,"['2025-10-30', '2025-11-22']"
CCL Hospital Blood Bank Ramgarh,23.6484192,85.5093472,4,5,5,2,6,6,1,1,"['2025-11-02', '2025-11-13']"
Military Hospital Blood Bank Ramgarh,0.0,0.0,6,5,5,4,4,5,6,6,"['2025-11-04', '2025-11-13']"
Apurva Blood Bank Ramgarh,0.0,0.0,6,2,2,4,3,2,3,3,"['2025-10-29', '2025-11-14']"
"Heavy Engineering Corporation, Plant Hospital Blood Bank",23.313367,85.277743,4,3,6,2,6,2,6,3,"['2025-10-27', '2025-11-14']"
"Rajendra Institute of Medical Science (RIMS) Blood Bank, Bariyatu",23.388964,85.349138,2,6,6,4,1,3,3,1,"['2025-11-04', '2025-11-22']"
CCL Hospital Blood Bank Ranchi,23.408788,85.321355,4,3,2,5,3,1,2,4,"['2025-11-02', '2025-11-10']"
Indian Red Cross Society (IRCS) Blood Bank Morabadi,23.3882502,85.3281205,6,5,4,2,4,5,3,1,"['2025-11-07', '2025-11-17']"
Abdur Razzaque Memorial Weavers Hospital (ARAM) Blood Bank ,23.4507571,85.4370738,5,6,6,1,1,4,1,2,"['2025-11-03', '2025-11-15']"
Nagarmal Modi Seva Sadan Hospital Blood Bank,23.371161,85.317141,5,4,1,4,2,4,4,3,"['2025-10-31', '2025-11-16']"
Rinchi Trust Hospital Blood Bank,23.3451234,85.1106008,4,6,1,2,5,5,3,6,"['2025-10-26', '2025-11-20']"
Devkamal Hospital and Research Centre Blood Bank,23.3691335,85.2204851,6,3,6,2,4,4,4,3,"['2025-10-25', '2025-11-10']"
Gurunanak Hospital and Research Centre Blood Bank ,23.349938,85.330008,5,6,5,4,2,5,1,2,"['2025-11-07', '2025-11-19']"
Sainik Hospital Blood Bank Namkum,23.3496021,85.3796172,1,4,5,2,5,3,4,4,"['2025-11-05', '2025-11-22']"
Birsa Blood Bank Bariyatu,0.0,0.0,1,5,6,1,6,4,6,4,"['2025-10-25', '2025-11-11']"
Jharkhand Blood Bank Bariatu ,23.395757,85.351652,4,2,1,6,4,1,4,6,"['2025-11-02', '2025-11-12']"
Archi Blood Bank Jharkhand ,23.38949,85.346526,1,6,1,6,4,6,1,6,"['2025-11-07', '2025-11-12']"
Sahebganj Sadar Hospital Blood Bank ,25.235841,87.634215,2,2,3,4,5,6,1,5,"['2025-10-27', '2025-11-20']"
Simdega Sadar Hospital Blood Bank ,22.6149779,84.5028825,1,1,6,1,3,2,2,3,"['2025-11-01', '2025-11-12']"
Chaibasa Sadar Hospital Blood Bank ,22.5505168,85.8054811,3,2,5,4,6,2,6,1,"['2025-10-27', '2025-11-22']"
Kiriburu Meghahatuburu General Hospital Blood Bank,22.104554,85.291571,3,5,3,1,6,1,5,4,"['2025-11-04', '2025-11-21']"
TATA (TISCO) Hospital Blood bank,22.145873,85.494402,2,1,4,5,1,2,4,3,"['2025-10-31', '2025-11-12']"
Bagalkot Blood Bank,16.186132,75.70653,1,1,2,6,3,6,4,1,"['2025-10-30', '2025-11-23']"
B. V. V. Sanghas HSK Hospital Blood Bank,16.165075,75.675072,2,4,3,5,3,1,3,5,"['2025-11-07', '2025-11-21']"
